mean,std,f3,f4,f5,f6
-3.552713678800501e-17,0.9993471013868956,0,0,0,0
4.736951571734001e-18,0.9996191215860654,0,0,0,0
2.3684757858670005e-18,0.999720935016995,0,0,0,0
1.6579330501069006e-17,0.998898374488621,0,0,0,0
1.4210854715202004e-17,0.9995620492481953,0,0,0,0
2.2500519965736505e-17,0.9989214789356692,0,0,0,0
-1.8947806286936004e-17,0.9997303926068131,0,0,0,0
-2.3684757858670008e-17,0.9998022590437919,0,0,0,0
8.289665250534503e-18,0.9993833201497947,0,0,0,0
2.4868995751603507e-17,0.999491985674903,0,0,0,0
5.921189464667501e-19,0.9992923973592962,0,0,0,0
-1.8947806286936004e-17,0.9994389574086918,0,0,0,0
-8.289665250534503e-18,0.9991985359581643,0,0,0,0
-4.736951571734001e-18,0.9991930690269757,0,0,0,0
1.5987211554602253e-17,0.99915170251632,0,0,0,0
-4.440892098500626e-18,0.9990487393300106,0,0,0,0
1.4506914188435377e-17,0.9989816776316521,0,0,0,0
1.0658141036401503e-17,0.999668447715566,0,0,0,0
7.105427357601002e-18,0.999378483833907,0,0,0,0
-8.289665250534503e-18,0.999199725212341,0,0,0,0
5.921189464667502e-18,0.9989784323776862,0,0,0,0
-2.1316282072803006e-17,0.9991805441005168,0,0,0,0
2.6645352591003756e-17,0.9988251417600416,0,0,0,0
1.0658141036401503e-17,0.9988899818479005,0,0,0,0
1.7171449447535755e-17,0.9997731467319957,0,0,0,0
-1.7763568394002505e-17,0.9995272180198584,0,0,0,0
-4.736951571734001e-18,0.9993914410432257,0,0,0,0
-9.473903143468002e-18,0.9990448815200806,0,0,0,0
1.1842378929335003e-18,0.9989395340085528,0,0,0,0
9.473903143468002e-18,0.9989230560795143,0,0,0,0
-1.0658141036401503e-17,0.9988820392876648,0,0,0,0
-1.4802973661668754e-17,0.9989924185258973,0,0,0,0
1.0658141036401503e-17,0.999132742840507,0,0,0,0
1.8947806286936004e-17,0.9991860160982096,0,0,0,0
-2.960594732333751e-17,0.9992225100075789,0,0,0,0
-4.736951571734001e-18,0.9991408299889166,0,0,0,0
-7.105427357601002e-18,0.9990824035338585,0,0,0,0
5.3290705182007515e-18,0.9990219153573612,0,0,0,0
7.105427357601002e-18,0.9988752363054211,0,0,0,0
